,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft1,Fft2,Fft3
0,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.02,0.72,-0.69,0.07,364479,7691,W,0.1237490422044475,0.015086301736376057,0.004190682719419528
1,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364499,7711,W,0.14334887837314736,0.0219975305222812,0.0024649320028112464
2,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364513,7725,W,0.21002072499640562,0.03559128143200902,0.003083844969295796
3,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364710,7922,W,0.29977803262271346,0.05251184323706567,0.006824498454970363
4,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.29,-8.24,2.19,0.02,0.72,-0.69,0.07,364734,7946,W,0.41227774151515784,0.06903374304457043,0.014278979981965121
5,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364749,7961,W,0.5655031117061602,0.08254508987892073,0.023189482327124557
6,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364763,7975,W,0.7701480316065092,0.08821229579034269,0.030981407391504644
7,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.07,0.69,-0.71,0.12,365187,8399,W,1.0007290817117243,0.08648412649454702,0.03515908604005682
8,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365214,8426,W,1.1992926573268374,0.07512323641457885,0.034873671706069385
9,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365228,8440,W,1.3037383476637225,0.058312011581067004,0.031875354896428655
10,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-2.41,-6.25,0.5,0.07,0.69,-0.71,0.12,365250,8462,W,1.276525833800933,0.03950874486098154,0.024303476747037908
