,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
17,0,-0.01,-0.01,-13.44,3,4.5,-2.49,-9.24,0.55,-0.03,0.68,-0.68,0.27,262792,2139,0.08,0.14,-0.13,8.5,-105,-21.44,-9.24,-3,-0.03,-0.71,0.01,0.67,0.21,472695,2522,W
18,0,-0.01,-0.01,-13.44,3,4.5,-6.93,-7.44,3,-0.03,0.68,-0.68,0.27,262804,2151,0.08,0.14,-0.13,8.5,-105,-21.44,-9.01,-3.15,0.08,-0.71,0.01,0.67,0.21,472736,2563,W
19,0.85,-0.1,2.28,-13.44,3,4.5,-6.93,-7.44,3,-0.03,0.68,-0.68,0.27,262816,2163,0.08,0.14,-0.13,8.5,-105,-21.44,-9.43,-3.04,-0.03,-0.71,0.01,0.67,0.21,472777,2604,W
20,0.85,-0.1,2.28,-13.44,3,4.5,-6.93,-7.44,3,0.21,0.55,-0.73,0.35,262830,2177,0.08,0.14,-0.13,8.5,-105,-21.44,-9.47,-2.96,-0.19,-0.71,0.01,0.67,0.21,472819,2646,W
21,0.85,-0.1,2.28,-13.44,3,4.5,-7.16,-7.06,3,0.21,0.55,-0.73,0.35,263088,2435,0.08,0.14,-0.13,8.31,-106.5,-21.44,-9.47,-2.96,-0.19,-0.71,0.01,0.67,0.21,472859,2686,W
22,0.85,-0.1,2.28,-13.44,3,4.5,-6.74,-6.48,3.46,0.21,0.55,-0.73,0.35,263110,2457,0.08,0.14,-0.13,8.31,-106.5,-21.44,-9.51,-2.89,-0.11,-0.71,0.01,0.67,0.21,472902,2729,W
23,0.85,-0.1,2.28,-13.44,3,4.5,-4.18,-6.52,2.04,0.21,0.55,-0.73,0.35,263124,2471,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.51,-2.89,-0.11,-0.71,0.01,0.67,0.21,472944,2771,W
24,-0.48,-0.02,-1.19,-13.44,3,4.5,-4.18,-6.52,2.04,0.21,0.55,-0.73,0.35,263143,2490,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.47,-2.77,0.16,-0.71,0.01,0.67,0.21,472986,2813,W
25,-0.48,-0.02,-1.19,-13.44,3,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263163,2510,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028,2855,W
26,-0.83,0.18,-1.9,-13.44,3,4.5,-3.53,-5.41,2.31,0.21,0.55,-0.73,0.35,263177,2524,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069,2896,W
27,-0.83,0.18,-1.9,-13.44,3,4.5,-3.53,-5.41,2.31,0.29,0.47,-0.7,0.46,263192,2539,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473110,2937,W
28,-0.83,0.18,-1.9,-13.44,3,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263281,2628,-0.21,-0.4,1.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473152,2979,W
29,-1.08,0.05,-2.28,-13.44,3,4.5,-4.18,-8.02,1.12,0.29,0.47,-0.7,0.46,263297,2644,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473193,3020,W
30,-1.08,0.05,-2.28,-13.44,3,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263392,2739,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-12.3,-3.15,0.35,-0.71,0.01,0.67,0.21,473235,3062,W
31,-1.45,0.11,-2.67,-13.44,3,4.5,-4.79,-9.86,1.96,0.29,0.47,-0.7,0.46,263423,2770,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-15.37,-3.08,0,-0.71,0.01,0.67,0.21,473276,3103,W
