,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,0.38,0.43,0.99,-10.69,1.37,1.19,-0.81,-8.32,0.48,-0.09,0.74,-0.67,0.06,137960,3269,W,0.2804019573185849,0.11585406523454535,0.46308994722416236,0.6922831779072361,1.7839815243300472,0.8520282798326899
1,0.38,0.43,0.99,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137979,3288,W,0.26726147834849345,0.15404913806949352,0.42379132060022856,0.8524601607338107,1.7079170535822277,0.9274054040591286
2,0.57,0.66,1.1,-10.69,1.37,1.19,-1.5,-7.82,2.4,-0.09,0.74,-0.67,0.06,137998,3307,W,0.25015180994868896,0.20173912694760182,0.36888597968330533,1.0504872847792253,1.6883222066671486,0.9483924001395538
3,0.57,0.66,1.1,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138012,3321,W,0.23372136395728946,0.2531465177189045,0.31266142370350614,1.2739310364419967,1.78019072132097,0.9220409307416892
4,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.09,0.74,-0.67,0.06,138026,3335,W,0.2217649444140149,0.3049129483473449,0.2778198581004393,1.4863644057032037,1.9485870822395674,0.8628895922115577
5,0.79,0.61,1.27,-10.69,1.37,1.19,-2.69,-8.21,2.79,-0.03,0.72,-0.68,0.08,138043,3352,W,0.21591232953463535,0.35408759047966065,0.2853684944389494,1.6581435878855069,2.144340091594466,0.7894148596873197
6,0.79,0.61,1.27,-10.69,1.37,1.19,-5.22,-8.97,2.59,-0.03,0.72,-0.68,0.08,138076,3385,W,0.21545597732688723,0.39784662313102453,0.3333911650773532,1.7655974835146173,2.3357772943414625,0.7188348613104021
7,0.79,0.61,1.27,-10.69,1.37,1.19,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138097,3406,W,0.2193623291975685,0.4331122359314922,0.40386948862777405,1.7936608947819157,2.501601184711333,0.6600362292038443
8,0.79,0.61,1.27,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138122,3431,W,0.2277417057068389,0.45814518754017275,0.480484587314094,1.7373453027806185,2.6264898977255884,0.6061584114777159
9,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.87,-10.08,2.29,-0.03,0.72,-0.68,0.08,138142,3451,W,0.23843642202697515,0.47245974450230954,0.5481335359247662,1.6097527557222553,2.6993229431053694,0.5401107334982409
10,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.87,-10.08,2.29,0.03,0.69,-0.71,0.15,138164,3473,W,0.24763373246082562,0.4757609334551036,0.5972294107834104,1.4465652608741253,2.715385113811955,0.45334286438042787
11,0.96,-0.59,1.98,-24.56,13.81,-7.81,-5.95,-11.31,1.52,0.03,0.69,-0.71,0.15,138187,3496,W,0.25242267789847994,0.4684163034228504,0.6251645932373547,1.302832245408327,2.68274035191186,0.3521692368733739
12,0.99,-1.09,2.42,-24.56,13.81,-7.81,-5.95,-11.31,1.52,0.03,0.69,-0.71,0.15,138206,3515,W,0.25193189195437815,0.44997585888242325,0.6358731302163949,1.2369160410762647,2.620179611569256,0.26057214906602405
13,0.99,-1.09,2.42,-24.56,13.81,-7.81,-5.22,-10.46,1.37,0.03,0.69,-0.71,0.15,138221,3530,W,0.24810856314522967,0.4188190106030259,0.6378844278072502,1.2682566494057947,2.5485610347837797,0.22484553546256492
14,0.99,-1.09,2.42,-24.56,13.81,-7.81,-5.76,-10.27,1.29,0.03,0.69,-0.71,0.15,138237,3546,W,0.24346015517453443,0.3742916450574205,0.6395013082289548,1.3657446689974064,2.4847808587555527,0.26208360459409646
15,0.98,-0.67,2.52,-24.56,13.81,-7.81,-5.76,-10.27,1.29,0.03,0.69,-0.71,0.15,138253,3562,W,0.2435274558163891,0.3169682512441805,0.6587330514816758,1.4875991273411,2.4412324204415183,0.32114598049668436
16,0.98,-0.67,2.52,-24.56,13.81,-7.81,-6.6,-10.39,1.67,0.03,0.69,-0.71,0.15,138267,3576,W,0.26258151384601724,0.24926265298350173,0.730720793049849,1.603105017421668,2.412014776465902,0.3661670233641722
17,0.91,0.07,2.7,-24.56,13.81,-7.81,-6.6,-10.39,1.67,0.03,0.69,-0.71,0.15,138281,3590,W,0.30969967962110534,0.1770491318704053,0.8670970205064513,1.7003195504928668,2.358241635050174,0.3975006598223331
18,0.91,0.07,2.7,-24.56,13.81,-7.81,-6.6,-10.39,1.67,0.13,0.62,-0.72,0.3,138297,3606,W,0.37915412397298326,0.1173145039824024,1.043080839755625,1.7753491379871182,2.241490615676808,0.42843045586188644
19,0.91,0.07,2.7,-24.56,13.81,-7.81,-6.68,-9.74,1.45,0.13,0.62,-0.72,0.3,138311,3620,W,0.45717763081356044,0.10040218082420918,1.21975692424218,1.8236224922719695,2.068951689097036,0.46700337581132
20,0.91,0.07,2.7,-24.56,13.81,-7.81,-6.75,-9.66,1.56,0.13,0.62,-0.72,0.3,138325,3634,W,0.5302982092501917,0.12253836388099443,1.3627007244049614,1.8334479632091003,1.9297650088489597,0.505744201649913
21,0.76,-0.5,2.67,-24.56,13.81,-7.81,-6.75,-9.66,1.56,0.13,0.62,-0.72,0.3,138339,3648,W,0.5887738983018859,0.14730970400398202,1.4495864532998386,1.7825965304555798,1.9610087853239517,0.5282459087546635
22,0.76,-0.5,2.67,-24.56,13.81,-7.81,-6.75,-9.66,1.56,0.17,0.59,-0.71,0.35,139220,4529,W,0.6261972110050467,0.1614099120322103,1.4698499423502156,1.649493070723606,2.2060964075271925,0.5195128403992127
23,0.76,-0.5,2.67,-24.56,13.81,-7.81,-6.25,-9.01,1.79,0.17,0.59,-0.71,0.35,139244,4553,W,0.6425544549068931,0.16503582095335126,1.4322261322751164,1.430544775799823,2.558704806457931,0.4711890157942594
24,-1.24,-0.29,-2.43,-24.56,13.81,-7.81,-6.25,-9.01,1.79,0.17,0.59,-0.71,0.35,139264,4573,W,0.6434032500051612,0.16135875363590801,1.3621731236053585,1.1525702058384215,2.873119192830268,0.38344420872658963
25,-1.24,-0.29,-2.43,-24.56,13.81,-7.81,-4.45,-12.07,0.33,0.17,0.59,-0.71,0.35,139278,4587,W,0.6351261853890198,0.1541830080946003,1.2888112973125083,0.8909501923459199,3.051790126818753,0.26475273026347745
26,-1.15,-0.26,-1.74,-24.56,13.81,-7.81,-4.45,-12.07,0.33,0.17,0.59,-0.71,0.35,139293,4602,W,0.6231485095771662,0.14459062480441162,1.2374046681961384,0.7863232459645689,3.0706569397125225,0.13049955822693854
27,-1.15,-0.26,-1.74,-9.81,37.0,-10.13,-4.45,-12.07,0.33,0.17,0.59,-0.71,0.35,139349,4658,W,0.6104345292767368,0.13158292766541288,1.2210534773374293,0.9201827473573126,2.970245561197208,0.007757792019049465
28,-1.15,-0.26,-1.74,-9.81,37.0,-10.13,-4.11,-10.7,0.41,0.17,0.59,-0.71,0.35,139366,4675,W,0.5968760947158088,0.11062846946307493,1.2371199579785066,1.1691803098819644,2.827842824567861,0.11231186772056927
29,-1.15,-0.26,-1.74,-9.81,37.0,-10.13,-5.45,-9.01,0.79,0.17,0.59,-0.71,0.35,140080,5389,W,0.5801007273193559,0.07484857888866055,1.2727815473876745,1.3971380946611527,2.716909321978229,0.18995296382869242
30,-0.45,0.43,-0.8,-9.81,37.0,-10.13,-5.45,-9.01,0.79,0.17,0.59,-0.71,0.35,140104,5413,W,0.5582804308209969,0.02758971775997949,1.3121185065071044,1.5269532606424379,2.652335057897802,0.22339406552666372
31,-0.45,0.43,-0.8,38.5,26.5,-22.19,-5.45,-9.01,0.79,0.17,0.59,-0.71,0.35,140119,5428,W,0.5318527286829974,0.06333927012196144,1.338515582117876,1.5100919718470447,2.5538337416095014,0.20438592903326877
32,0.77,-0.2,2.61,38.5,26.5,-22.19,-5.45,-9.01,0.79,0.17,0.59,-0.71,0.35,140133,5442,W,0.50490362070205,0.14206227351860248,1.3393426703692384,1.3278571739525185,2.3057091566811225,0.13424991916801932
33,0.77,-0.2,2.61,38.5,26.5,-22.19,-5.45,-9.01,0.79,0.25,0.52,-0.68,0.46,140219,5528,W,0.486473447208284,0.2226854606565435,1.314190131995671,0.9954736271865988,1.8286293349636809,0.028246156322488124
