,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028,2855,W,0.03858059727868645,0.10413538711399427,0.49138814812108866,1.6807747952850576,0.5951605766043908,0.12123580355810473
1,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069,2896,W,0.025726764498476815,0.09111102212130752,0.6394597779627837,1.7465554704422843,0.6150433715834279,0.1099490377384507
2,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473110,2937,W,0.027621839013432264,0.0838636721390567,0.7985480592131663,2.2450261592456693,0.6534336542936342,0.11667801260004604
3,-0.21,-0.4,1.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473152,2979,W,0.060819584778573035,0.09365074154557096,0.9636792677153957,3.08679719554509,0.7054472041288721,0.15097591197805393
4,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473193,3020,W,0.10439311666798116,0.11974647749816203,1.1289150239315786,4.019830892255333,0.7759017271979973,0.199217581098945
5,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-12.3,-3.15,0.35,-0.71,0.01,0.67,0.21,473235,3062,W,0.14894043682225191,0.15287009123296913,1.2844378658176157,4.811655756732754,0.8718143760535528,0.25407898894700237
6,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-15.37,-3.08,0.0,-0.71,0.01,0.67,0.21,473276,3103,W,0.1878122883457718,0.1851472053495595,1.4153368712790277,5.287004376351943,0.9917707067225491,0.3213361754755679
7,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473319,3146,W,0.2160722155001784,0.21195477710843388,1.5052515482282713,5.335120003254773,1.1298811528531836,0.40967483404990573
8,-0.1,-0.31,2.24,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473361,3188,W,0.2308852858560311,0.2308398625819826,1.5406336415310569,4.925138127923707,1.2706593003550604,0.5195022574402223
9,-1.59,-1.27,-1.68,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473403,3230,W,0.23125785004313001,0.24013637765359666,1.5133993238934733,4.1139695210737015,1.3851549496075477,0.6378204036049875
10,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473445,3272,W,0.21827093865103253,0.23923565314094503,1.4235690723159977,3.0509584083685577,1.4467064205039148,0.7403323493938506
11,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-5.71,-1.93,0.96,-0.71,0.01,0.67,0.21,473486,3313,W,0.19504408626998115,0.22924164098576688,1.280172107733597,2.030763786158865,1.442309304821857,0.8016231004850827
12,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-8.28,-0.16,3.03,-0.71,0.01,0.67,0.21,473526,3353,W,0.16672559263705727,0.21422974411879966,1.1006275425902539,1.6350385028924244,1.3748042367534694,0.8039469205115977
13,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473568,3395,W,0.13890720883523827,0.2034153493549124,0.9145888664700005,2.0999657181437223,1.2595889257600172,0.7421170967429355
14,-0.41,0.27,-2.74,26.75,-128.13,12.75,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473608,3435,W,0.11514871356100874,0.20663167369423546,0.7670721856340345,2.752393878468104,1.1041194488663222,0.6237231484241059
15,-0.41,0.27,-2.74,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473651,3478,W,0.09515072325014377,0.22499188982000384,0.7028880406163867,3.19174055692659,0.9237880343072684,0.47383317461012303
16,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473693,3520,W,0.07492389237577977,0.25048060187356697,0.728003246871209,3.275769656546204,0.735983101374906,0.3621143901053302
17,-0.1,0.7,-2.18,26.75,-128.13,12.75,-11.77,-1.05,1.08,-0.71,0.01,0.67,0.21,473735,3562,W,0.049856696158778295,0.2727033558306022,0.7956267662503078,3.0090922798714086,0.5309297335100813,0.3902834201515338
18,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.11,-1.09,1.96,-0.71,0.01,0.67,0.21,473777,3604,W,0.02069307135915823,0.2826470477500095,0.8572956339180487,2.499216951218432,0.2918850931007897,0.5314246947592465
19,-0.1,0.7,-2.18,26.75,-128.13,12.75,-10.16,-0.16,2.57,-0.71,0.01,0.67,0.21,473819,3646,W,0.009407433857955904,0.2766394841117547,0.8850593167452829,1.9500321443841304,0.07866960509317211,0.6860340419554516
20,-0.1,0.7,-2.18,100.94,-104.0,36.75,-10.16,-0.16,2.57,-0.71,0.01,0.67,0.21,473860,3687,W,0.037182844427278865,0.25537095796213466,0.8657217666909046,1.6380791906036065,0.3311929477484216,0.8022547879432289
21,-0.1,0.7,-2.18,100.94,-104.0,36.75,-9.39,-0.05,2.11,-0.71,0.01,0.67,0.21,473904,3731,W,0.061340272516018056,0.22137285586632952,0.7983045406913919,1.8100724815296758,0.6359474119511199,0.8604712796737136
22,-0.16,-0.01,0.45,100.94,-104.0,36.75,-9.39,-0.05,2.11,-0.71,0.01,0.67,0.21,473946,3773,W,0.07906922864596268,0.1786528563432535,0.6920476614727259,2.3158672061753123,0.9023805347496816,0.8567800124389788
23,-0.16,-0.01,0.45,100.94,-104.0,36.75,-4.64,5.7,2.92,-0.71,0.01,0.67,0.21,473989,3816,W,0.08930319818486314,0.13221358503778646,0.5629250144307204,2.8408593457883855,1.0962763818124395,0.7976026708169279
24,-0.16,-0.01,0.45,100.94,-104.0,36.75,-17.32,-5.18,1.5,-0.71,0.01,0.67,0.21,474030,3857,W,0.09290889490121011,0.08721854387073225,0.42948878702149573,3.203553647528278,1.197874109096784,0.6942603633167701
25,-0.16,-0.01,0.45,100.94,-104.0,36.75,-11.35,-2.81,1.27,-0.71,0.01,0.67,0.21,474073,3900,W,0.09143677989856333,0.050015301076564454,0.30791438663933335,3.328381312392253,1.2053778492334166,0.560967163265562
26,-0.16,-0.01,0.45,100.94,-104.0,36.75,-11.73,-2.7,0.0,-0.71,0.01,0.67,0.21,474114,3941,W,0.08659162703089619,0.0324707405492253,0.20849642586478412,3.2115065341591333,1.1274721479596888,0.41257059805059326
27,0.35,0.04,0.33,100.94,-104.0,36.75,-11.73,-2.7,0.0,-0.71,0.01,0.67,0.21,474156,3983,W,0.0804847696318037,0.03976973038872027,0.13482639263539897,2.9097064399984194,0.9853087052544572,0.26477090837326156
28,0.21,0.13,0.17,100.94,-104.0,36.75,-11.73,-2.7,0.0,-0.71,0.01,0.67,0.21,474198,4025,W,0.07478436538480342,0.0521873917056204,0.08448928603824181,2.524718139847183,0.8189234438137717,0.1381996119414691
29,0.21,0.13,0.17,100.94,-104.0,36.75,-9.55,-2.7,0.39,-0.71,0.01,0.67,0.21,474241,4068,W,0.0700852367798368,0.06189627144711756,0.05156941598744638,2.1858076477779522,0.683196083737756,0.0638730803708634
30,-0.12,0.07,0.14,100.94,-104.0,36.75,-9.55,-2.7,0.39,-0.71,0.01,0.67,0.21,474283,4110,W,0.06562092988478928,0.06992739953070883,0.028523244685069594,1.9977046356778667,0.6211173885890541,0.07391594057994844
31,-0.12,0.07,0.14,100.94,-104.0,36.75,-9.55,-2.7,0.2,-0.71,0.01,0.67,0.21,474324,4151,W,0.059628952100124644,0.07716019760442688,0.01586193163870286,1.966242388897311,0.6172361233312291,0.09699264917931184
32,-0.12,0.07,0.14,100.94,-104.0,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474364,4191,W,0.050767325039062526,0.0843694241559597,0.03363536468316438,2.0068385962433988,0.6115414452211366,0.10204505166806108
33,-0.07,-0.06,0.1,100.94,-104.0,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474405,4232,W,0.039710373438342286,0.09450945503964782,0.08378884661826926,2.0669077115791312,0.5932809186590126,0.08544853377078297
34,-0.04,-0.13,0.14,100.94,-104.0,36.75,-9.47,-2.62,0.35,-0.71,0.01,0.67,0.21,474447,4274,W,0.027819494974865668,0.11345131701756264,0.183931808726546,2.085814686439198,0.5763845433315429,0.04885080162278912
35,-0.04,-0.13,0.14,100.94,-104.0,36.75,-9.59,-2.54,0.39,-0.71,0.01,0.67,0.21,474491,4318,W,0.01850279896126765,0.14684828552868168,0.35384477661693786,1.9974981658391036,0.5719474875906017,0.04386083377136555
36,0.01,-0.22,0.23,100.94,-104.0,36.75,-9.59,-2.54,0.39,-0.71,0.01,0.67,0.21,474533,4360,W,0.025019078959818697,0.19447208884289888,0.595771644459699,1.831110891451897,0.557767533568883,0.12345288187621997
37,0.01,-0.22,0.23,100.94,-104.0,36.75,-9.63,-2.46,0.5,-0.71,0.01,0.67,0.21,474574,4401,W,0.04684554946750373,0.25693118358608014,0.9040618017582353,1.7535063652293437,0.5010235837512454,0.22419575197402458
38,0.01,-0.22,0.23,100.94,-104.0,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474614,4441,W,0.07220875787844659,0.3333476898100719,1.2567714814494755,2.0168710760171957,0.4007628691009823,0.32949660912722506
39,-0.03,-0.69,0.93,100.94,-104.0,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474655,4482,W,0.09845581856446105,0.41776282875802145,1.6244353533030624,2.6838452431929816,0.35573175573628735,0.4265650521447757
40,-0.08,-0.82,1.66,100.94,-104.0,36.75,-9.82,-2.54,0.27,-0.71,0.01,0.67,0.21,474698,4525,W,0.12794749186774193,0.5032669496465474,1.981458121751523,3.5248715600090583,0.533990332612386,0.4997672169474566
41,-0.08,-0.82,1.66,100.94,-104.0,36.75,-11.16,-2.85,1.8,-0.71,0.01,0.67,0.21,474741,4568,W,0.16321656195478698,0.5829903438764241,2.3051342553767915,4.265573613876088,0.8775986479015376,0.5350858752661204
42,0.4,-1.4,6.03,100.94,-104.0,36.75,-11.16,-2.85,1.8,-0.71,0.01,0.67,0.21,474784,4611,W,0.2035657449341137,0.6502365046085224,2.5745542885230623,4.704163611916046,1.2716399096698916,0.5320138012269247
