,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.55,-2.7,0.12,-0.71,0.01,0.67,0.21,473028,2855,W,-2.5181380189476257,-2.844963187792793,1.3314684653701518,3.022605252104559,2.797451933903966,0.7803677993135574
1,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.59,-2.77,0.12,-0.71,0.01,0.67,0.21,473069,2896,W,-2.4567606559608977,-2.986593399073448,0.982392639009752,-2.9786346359657143,2.8518613795296823,0.7659410034241165
2,-0.04,-0.21,0.15,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473110,2937,W,-1.6274927085489321,-2.9924850678241333,0.5804548563106297,-2.768780685759265,2.8763814063703723,0.9366712509483883
3,-0.21,-0.4,1.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473152,2979,W,-1.4654581848541572,-2.960812331557188,0.14466966589874386,-2.7514443688228507,2.8672315343728667,1.057715366911161
4,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-9.66,-2.73,0.39,-0.71,0.01,0.67,0.21,473193,3020,W,-1.695737446477315,-3.0658593726960732,-0.3068134399468197,-2.875652480585844,2.826452848723391,1.0707312093673578
5,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-12.3,-3.15,0.35,-0.71,0.01,0.67,0.21,473235,3062,W,-2.016449096861112,2.9719019715773074,-0.7589600238635843,-3.0759664342143207,2.743187494020858,1.0424160716290745
6,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-15.37,-3.08,0.0,-0.71,0.01,0.67,0.21,473276,3103,W,-2.3636206093193812,2.647457810649434,-1.2007375567928456,2.96913281058389,2.609045540438628,0.9983536697842422
7,-0.1,-0.31,2.24,8.31,-106.5,-21.44,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473319,3146,W,-2.717076880826804,2.288091172267909,-1.626053013726527,2.716284652151068,2.4250693182033403,0.9181789197988149
8,-0.1,-0.31,2.24,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473361,3188,W,-3.0676216169676964,1.92057167311869,-2.031774445505996,2.4679121714377077,2.1850172114722692,0.7819037415470289
9,-1.59,-1.27,-1.68,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473403,3230,W,2.8756207038187958,1.563264859161887,-2.4148186377564262,2.2487141579423926,1.8840588500234354,0.5888928179128267
10,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-17.75,-2.73,1.19,-0.71,0.01,0.67,0.21,473445,3272,W,2.5549403594218223,1.2316417785837586,-2.7714944323975828,2.109287450698759,1.5280469145635986,0.35525598134443653
11,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-5.71,-1.93,0.96,-0.71,0.01,0.67,0.21,473486,3313,W,2.2647731421653665,0.9412442881742495,-3.097077432994118,2.1820897452556673,1.1244576011371723,0.09956714000941291
12,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-8.28,-0.16,3.03,-0.71,0.01,0.67,0.21,473526,3353,W,2.016858838930088,0.7092481932473608,2.9004848858243495,2.623463024541242,0.677740390987956,-0.15980468791099395
13,-0.41,0.27,-2.74,-3.75,-56.19,-1.5,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473568,3395,W,1.816389961074424,0.5428416628471884,2.679375235505315,2.946583100614009,0.19030481033680532,-0.40155043421170167
14,-0.41,0.27,-2.74,26.75,-128.13,12.75,-11.43,1.37,2.95,-0.71,0.01,0.67,0.21,473608,3435,W,1.6520290221902465,0.4066939185338373,2.555932257529664,2.9523271554255923,-0.34518578341925865,-0.5963196701100387
15,-0.41,0.27,-2.74,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473651,3478,W,1.4889187351829487,0.23444067854908704,2.5175584990295077,2.8275365817121174,-0.9240372074235398,-0.6727143057575572
16,-0.1,0.7,-2.18,26.75,-128.13,12.75,-12.61,3.47,1.96,-0.71,0.01,0.67,0.21,473693,3520,W,1.2845046211847588,-0.00908556753020159,2.4708706002017062,2.6636456935679735,-1.5123911723398986,-0.48975554770233637
