,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az
0,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.02,0.72,-0.69,0.07,364479,7691,W,1.4483209652161408,-2.2077926736734392,1.4540076499420895,-1.8609098900015264,-2.740385017382611,-0.34941707456658583
1,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364499,7711,W,1.4441859039813416,-2.462384595020487,1.4182427941153166,-2.2610048182652487,-2.5027427554825703,-0.5289141515450877
2,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364513,7725,W,1.284792665154254,-2.6667291707527894,1.1961362288409592,-2.550636230158892,-2.5886084587933595,-0.7596855815796378
3,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364710,7922,W,0.9284329485333868,-2.856507916979531,0.8024453791573739,-2.829912906019527,-2.7805921872984767,-1.022490170365999
4,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.29,-8.24,2.19,0.02,0.72,-0.69,0.07,364734,7946,W,0.42949800210722705,-3.0915284650743877,0.30507796541173077,-3.1068291297569353,-3.022336563582475,-1.305811507636166
5,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364749,7961,W,-0.1439097032361312,2.8711264506641485,-0.2346886236413964,2.892541014420116,2.9916967526003004,-1.6039023865896023
6,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364763,7975,W,-0.7162627381186367,2.48196712944229,-0.7663900784878187,2.5989754815138264,2.7087748014533695,-1.919014180712936
7,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.07,0.69,-0.71,0.12,365187,8399,W,-1.2359180101796918,2.0641589805682212,-1.2606628549619712,2.304492562224023,2.4234980597221,-2.2737864581209593
8,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365214,8426,W,-1.6891851837046659,1.6370056345162824,-1.70876179716726,2.019332138383529,2.145703916208572,-2.792432748584841
9,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365228,8440,W,-2.076783028232199,1.202152985246711,-2.1097181636795637,1.7599103763685313,1.8896724447292679,2.0129355582444934
