,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx,Fft_gy,Fft_gz,Fft_ax,Fft_ay,Fft_az,Fft_gx1,Fft_gy1,Fft_gz1,Fft_ax1,Fft_ay1,Fft_az1
0,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571106,5366,W,1.2870708108864035,0.0068383979002946925,2.775360453196917,-0.42140021016691925,-1.5998263144282747,0.7338094809980424,0.013626184718112434,3.094005847052898,0.006617090733205226,2.785152442655758,-0.9729820848950149,-0.9514166930139889
1,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571148,5408,W,1.0170716758766016,0.0035149582404302494,2.720523745173707,1.8955397062835282,2.2474603286860138,0.7387139258641529,0.015801700876866297,0.11224808197623837,0.007903779889548521,2.7866774881120806,1.1966027523003968,2.424349675093443
2,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571189,5449,W,0.73238668294492,0.0007794565000776845,2.5493503686609635,-2.031098304963579,-1.0259846917482283,0.7397452382969335,0.0178405313275751,-3.0646421163920685,0.009153027083207149,2.7894728909848,-2.046402555989098,-0.5617218250912033
3,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.19,-0.03,-0.71,0.01,0.67,0.24,571230,5490,W,0.43361701260002133,0.003340600568909887,2.304480094361828,0.3403475177352982,2.512733524918456,0.7373596153531472,0.019546447696909094,-0.4909640806559172,0.009921242124627184,2.793450205517732,-0.276642916527179,2.730599017963728
4,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.16,-0.71,0.01,0.67,0.24,571272,5532,W,0.12292514891343272,0.005814030818644547,2.0094114583916056,2.749867410368178,-0.3090482222684702,0.7334149184954781,0.020855949086796097,2.1255612603218927,0.009971600634035448,2.7977573702512553,2.663518223920775,-0.23533789005873318
5,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571312,5572,W,-0.1972663883440465,0.007407576766306636,1.6751918495039324,-1.0960708164785828,2.959047261391379,0.7299212476959436,0.021690718043175992,-0.9989325393853644,0.009247285970506954,2.8011407069578507,-1.3895117021084178,2.909188691108538
6,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571353,5613,W,-0.5240260103615789,0.008051006322673013,1.3016357327261374,1.3546170502158559,0.5883273157315253,0.7282820380781888,0.02197220076862754,2.3312458015189526,0.007856502437471047,2.8022223681104785,0.7406476765910096,-0.08207135932090205
7,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571395,5655,W,-0.8539268097716914,0.007871093588075822,0.8729016075489907,-2.430741031422433,-2.8434592924290047,0.7294588453687192,0.021636294067946593,-0.5214957739658793,0.006047672905955072,2.8000995502839356,-2.704098987634482,2.9589422632840456
8,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571437,5697,W,-1.1830632124708853,0.007135095857860983,0.33974027327174705,0.08192501207706814,1.6486912409097478,0.7340721164585258,0.02064600662233198,2.9814510062358797,0.004189297487153786,2.7949960556079327,-0.6861670060034779,-0.010694502041686474
9,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.2,-3.19,0.04,-0.71,0.01,0.67,0.24,571479,5739,W,-1.507819209130262,0.004251648233434279,-1.023382826022336,-2.487221033202042,-2.762938144482309,0.7420258955265164,0.01902963932253202,-1.9092393988198628,0.0020275330822583804,2.788727626240751,1.8933126439077226,3.026498093035819
