,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
0,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.11,-0.03,-0.71,0.01,0.67,0.24,571106,5366,W,0.013626184718112434,0.002943585118080665,0.00043123699698414166,0.0068383979002946925,0.0013747999327937141,0.00227963312996342,0.006617090733205226,0.0004272905012119249,0.001336170381431893
1,0.0,0.01,-0.02,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571148,5408,W,0.015801700876866297,0.0030854948695507767,0.0007790695679831477,0.0035149582404302494,0.0010401868309403463,0.0024572027637136703,0.007903779889548521,0.0006613393683380361,0.001497474113713627
2,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.15,-0.03,-0.71,0.01,0.67,0.24,571189,5449,W,0.0178405313275751,0.0030781257373537706,0.0014821462497803444,0.0007794565000776845,0.0006378628281930047,0.0026584113022280697,0.009153027083207149,0.000938212745825094,0.0016555767717107313
3,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.16,-3.19,-0.03,-0.71,0.01,0.67,0.24,571230,5490,W,0.019546447696909094,0.0030024904303423863,0.002128349238372898,0.003340600568909887,0.0004349282460205555,0.0027790831589843946,0.009921242124627184,0.0011810871974918564,0.0017743097852918005
4,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.16,-0.71,0.01,0.67,0.24,571272,5532,W,0.020855949086796097,0.0028998843431826985,0.0026085711206961385,0.005814030818644547,0.0006171099679903716,0.0028703320709041616,0.009971600634035448,0.001343585504165543,0.0018059453509038695
5,0.03,0.01,-0.03,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571312,5572,W,0.021690718043175992,0.0028497133864313477,0.0028819025254701036,0.007407576766306636,0.0009090181163799149,0.0029345602584660143,0.009247285970506954,0.0014298788403725225,0.001799730225878424
6,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.13,-3.15,0.12,-0.71,0.01,0.67,0.24,571353,5613,W,0.02197220076862754,0.002895201638245362,0.002910828710202192,0.008051006322673013,0.0011129552794906165,0.0028986683315066343,0.007856502437471047,0.0014093095735195728,0.00171032162659896
7,0.08,0.03,-0.01,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571395,5655,W,0.021636294067946593,0.0030284751584805196,0.0027040028526323194,0.007871093588075822,0.0012063081369948837,0.0028615404671101957,0.006047672905955072,0.0013188448690555142,0.0015771700879002395
8,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.24,-3.15,-0.03,-0.71,0.01,0.67,0.24,571437,5697,W,0.02064600662233198,0.0031970170106590664,0.0023141509641298017,0.007135095857860983,0.0011665339883708996,0.0027692946774108295,0.004189297487153786,0.001153027090678353,0.0014406504159464324
9,0.03,-0.01,0.0,8.69,-108.94,-17.44,-9.2,-3.19,0.04,-0.71,0.01,0.67,0.24,571479,5739,W,0.01902963932253202,0.003290464984394381,0.0018388592152102918,0.004251648233434279,0.0010457990508330318,0.0035688019598913673,0.0020275330822583804,0.0006796759042768595,0.001561654526886048
