,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label,Fft_gx1,Fft_gx2,Fft_gx3,Fft_gy1,Fft_gy2,Fft_gy3,Fft_gz1,Fft_gz2,Fft_gz3
0,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-2.8,-7.86,1.73,0.02,0.72,-0.69,0.07,364479,7691,W,0.16668459704310382,0.05488990923575896,0.03104301047741312,0.5408465695335924,0.09645877698214,0.10734335817793732,0.35177982063280366,0.12282630718366508,0.06473548269241164
1,-0.15,0.11,-0.14,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364499,7711,W,0.16060778771309622,0.06130330367205717,0.02232251942949478,0.4283597234715115,0.0814229198319082,0.09008153613956195,0.37861441913000005,0.1483156449006011,0.04964808156224414
2,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364513,7725,W,0.18015381416594548,0.0741182950667468,0.019592516060167573,0.34261150238606664,0.07346600152181908,0.061940824014358284,0.4582801817626479,0.18865651706741812,0.05553237766650908
3,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.21,-7.28,2.15,0.02,0.72,-0.69,0.07,364710,7922,W,0.2033534919233534,0.08742983054313455,0.028454556503554797,0.29093539196807805,0.06730635582504439,0.03307922152130486,0.5475198924447526,0.22915462735250552,0.08261052266491456
4,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-3.29,-8.24,2.19,0.02,0.72,-0.69,0.07,364734,7946,W,0.22671666111573582,0.09860110854476084,0.04211750542831218,0.27158592614625043,0.0631945538057626,0.019850754172277826,0.6420885776239582,0.2627427316683954,0.1194946859988557
5,-0.18,-0.28,-0.18,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364749,7961,W,0.25762047139786454,0.10686069654667188,0.05436584864577987,0.2726776584795012,0.06127795104201775,0.03661186868285599,0.7519994093788639,0.28730661300937843,0.1522809322506418
6,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.02,0.72,-0.69,0.07,364763,7975,W,0.3003601625736038,0.10985061126977663,0.062095713796387286,0.2819811435331097,0.05845766064860927,0.053016940000971347,0.8775807835216706,0.2970055484167639,0.17601536123732112
7,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-6.93,-15.52,0.89,0.07,0.69,-0.71,0.12,365187,8399,W,0.34806711736229956,0.10907325913630236,0.06411484866774098,0.28794913188961085,0.05411655579415899,0.06478954475237295,1.0003644744350553,0.2940818363900549,0.18750756262096954
8,0.76,-0.77,2.25,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365214,8426,W,0.3886399047839426,0.1021353650582115,0.06102045769128911,0.28403048082106486,0.046981882916423794,0.07440505673102132,1.0951222111375687,0.27408618428256987,0.18674493756476876
9,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-4.98,-14.14,0.12,0.07,0.69,-0.71,0.12,365228,8440,W,0.4115898746867959,0.09169910654352781,0.05531542198301239,0.26892361138477006,0.03957344112846201,0.08021451311926597,1.1418136221221582,0.24147880151488868,0.1785367046196066
10,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-2.41,-6.25,0.5,0.07,0.69,-0.71,0.12,365250,8462,W,0.41108721713605784,0.07826075222038938,0.04319718009216703,0.24181605616443214,0.03354980228713584,0.0811099122038563,1.1298344276047412,0.19876806801139246,0.15589572395366688
11,-0.57,-0.01,-1.48,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365286,8498,W,0.3964037068572149,0.05796623874700555,0.024551377669939884,0.20639916226210614,0.02786967947240041,0.07583742472221128,1.07551425177537,0.14023549082946818,0.11722608215378741
12,-0.79,0.53,-2.12,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365310,8522,W,0.3905906982786339,0.03344209934060254,0.017716036161394808,0.1701630750363741,0.024561834351024475,0.0646838302595799,1.020589413797324,0.07316749504691132,0.07411114259328108
13,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-2.64,-6.94,0.66,0.07,0.69,-0.71,0.12,365333,8545,W,0.40973966385963595,0.011898653481179453,0.04073291082802365,0.13966222533107658,0.02486105652048895,0.04967993128981518,1.0038808970348687,0.014895662666233643,0.06045912453805809
14,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-3.87,-9.54,0.7,0.07,0.69,-0.71,0.12,365348,8560,W,0.4475902623227477,0.014706432839911064,0.06589475558925666,0.11985493649139949,0.026565545782992892,0.032573653855171976,1.0356789676782683,0.053981159378890566,0.09407080372029081
15,-1.02,0.26,-2.58,-29.94,-0.81,-7.25,-3.91,-11.42,0.96,0.07,0.69,-0.71,0.12,365362,8574,W,0.4831574126923397,0.02979211173079365,0.08887680443650986,0.11287814655629251,0.028662392005951512,0.015006680029964765,1.090365915324042,0.10271125061628754,0.14259227435617636
16,-1.36,-0.05,-2.85,-29.94,-0.81,-7.25,-3.91,-11.42,0.96,0.07,0.69,-0.71,0.12,365379,8591,W,0.49585761733824446,0.041431345653076754,0.10604258273044218,0.11719605155762952,0.028438357681144246,0.007974552420062064,1.1292844869402212,0.13863343514363133,0.18375353607085057
17,-1.36,-0.05,-2.85,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.07,0.69,-0.71,0.12,365393,8605,W,0.47074162012658166,0.047874351404291436,0.11361100502601168,0.1292112732456498,0.026161582280614805,0.023508149112743806,1.117852694963186,0.15708607360985927,0.20776954667693645
18,-1.74,0.28,-3.02,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.07,0.69,-0.71,0.12,366399,9611,W,0.4038245864307118,0.05152620868313652,0.11599018186152181,0.14721568037766747,0.02567229099566782,0.03860178659096207,1.0428915835921972,0.16642696941379184,0.21793804262447772
19,-1.74,0.28,-3.02,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.09,0.6,-0.73,0.31,366476,9688,W,0.3014657174346529,0.053007040327654895,0.11359932486066376,0.17046918528852728,0.025627787165991074,0.051114138211165935,0.9114499407454418,0.16681432068835572,0.2155776067346343
20,0.12,-0.39,0.57,-29.94,-0.81,-7.25,-4.86,-14.64,0.81,0.09,0.6,-0.73,0.31,366491,9703,W,0.17345429024025866,0.054397116995979426,0.10261532783139447,0.19688583116152375,0.02372359019652765,0.060413883867568345,0.7336786702941436,0.16072912679812437,0.1957290979076969
21,0.12,-0.39,0.57,-29.94,-0.81,-7.25,-3.95,-5.79,0.35,0.09,0.6,-0.73,0.31,366510,9722,W,0.06316552749859637,0.05649061235924461,0.087574707963844,0.2249178649256492,0.020435882936833526,0.06648254134041774,0.5236760454678495,0.14895121547700937,0.15893017810351623
22,-0.63,-0.36,0.01,-29.94,-0.81,-7.25,-3.95,-5.79,0.35,0.09,0.6,-0.73,0.31,366534,9746,W,0.16496940164654297,0.060924028201532206,0.08309242832364173,0.2525353759954115,0.017165379266198388,0.07074106859500921,0.30491615366034125,0.13241348839740663,0.1208975205693214
23,-0.63,-0.36,0.01,-29.94,-0.81,-7.25,-4.59,-5.56,0.77,0.09,0.6,-0.73,0.31,366555,9767,W,0.31252222112795935,0.06888357736568883,0.09717388974982494,0.27575596993749557,0.01574863974061477,0.07123987094333165,0.12574778949697682,0.11577071810883877,0.0930311524940275
